Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Monash City Council,England Reserve,Glen Waverley,-37.895265,145.14927,Tennis (Outdoor),12.0,Hard Court,,,England Road Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Tennis']"
Monash City Council,Essex Heights Tennis Club,Mt Waverley,-37.86117700000000,145.123627,Tennis (Outdoor),6.0,Artificial Turf,4. Good,Unisex,Barton Street Mt Waverley 3149,,,,"['Monash City Council', 'Mt Waverley', 'Sports', 'Tennis']"
Monash City Council,Oakleigh Tennis Courts,Oakleigh,-37.899008,145.084354,Tennis (Outdoor),3.0,Hard Court,,,Carisle Cresent Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Tennis']"
Monash City Council,Springvale Pistol Club,Springvale,-37.929113,145.150876,Shooting Sports,,,,,710 Dandenong Road Springvale 3171,,,,"['Monash City Council', 'Springvale', 'Sports', 'Shooting']"
Kingston City Council,Beazley Reserve,Chelsea Heights,-38.047873,145.13189600000000,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",172 Thames Promenade Chelsea Heights 3196,,,,"['Kingston City Council', 'Chelsea Heights', 'Sports', 'Football']"
Kingston City Council,Ben Kavanagh Reserve,Mordialloc,-38.003569,145.091926,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",McDonald Street Mordialloc 3195,,,,"['Kingston City Council', 'Mordialloc', 'Sports', 'Football']"
Kingston City Council,BonBeach Sports Reserve,Carrum,-38.061687,145.129178,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Cannes Avenue Carrum 3197,,,,"['Kingston City Council', 'Carrum', 'Sports', 'Football']"
Kingston City Council,Chelsea Recreation Reserve,Chelsea,-38.049729,145.124345,Australian Rules Football,1.0,Grass,5. Very Good,,Beardsworth Avenue Chelsea 3196,,,,"['Kingston City Council', 'Chelsea', 'Sports', 'Football']"
Kingston City Council,Dingley Reserve,Dingley Village,-37.983408,145.136268,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Marcus Road Dingley Village 3172,,,,"['Kingston City Council', 'Dingley Village', 'Sports', 'Football']"
Kingston City Council,Gerry Green Reserve,Parkdale,-37.990905,145.083236,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Imes Street Parkdale 3194,,,,"['Kingston City Council', 'Parkdale', 'Sports', 'Football']"
Kingston City Council,Glen Street Reserve,Aspendale,-38.02203,145.102242,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Glen Street Aspendale 3195,,,,"['Kingston City Council', 'Aspendale', 'Sports', 'Football']"
Kingston City Council,Heatherton Recreation Reserve,Heatherton,-37.968455,145.106688,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Ross Street Heatherton 3202,,,,"['Kingston City Council', 'Heatherton', 'Sports', 'Football']"
Kingston City Council,Keeley Park,Clayton South,-37.93558400000000,145.124145,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Clarevale Street Clayton South 3169,,,,"['Kingston City Council', 'Clayton South', 'Sports', 'Football']"
Kingston City Council,Le Page Reserve,Cheltenham,-37.958722,145.070778,Australian Rules Football,2.0,Grass,2. Poor,"Umpire/Officials, Unisex",Herald Street Cheltenham 3192,,,,"['Kingston City Council', 'Cheltenham', 'Sports', 'Football']"
Kingston City Council,Mentone Reserve,Mentone,-37.984635,145.063141,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Brindisi Street Mentone 3194,,,,"['Kingston City Council', 'Mentone', 'Sports', 'Football']"
Kingston City Council,Bicentennial Park,Chelsea,-38.051045,145.128231,Baseball,2.0,Grass,4. Good,"Male, Umpire/Officials",Sturdee Street Chelsea 3196,,,,"['Kingston City Council', 'Chelsea', 'Sports', 'Baseball']"
Kingston City Council,Kingston Heath Reserve,Heatherton,-37.96680300000000,145.089177,Baseball,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Farm Road Heatherton 3202,,,,"['Kingston City Council', 'Heatherton', 'Sports', 'Baseball']"
Kingston City Council,Rowan Rd Reserve,Dingley Village,-37.982073,145.142252,Baseball,2.0,Grass,3. Average,"Male, Umpire/Officials",Rowan Road Dingley Village 3172,,,,"['Kingston City Council', 'Dingley Village', 'Sports', 'Baseball']"
Kingston City Council,Mordialloc Community Centre,Mordialloc,-37.991215,145.091893,Basketball,,Wooden Gymnasium,,,Warren Road Mordialloc 3195,,,,"['Kingston City Council', 'Mordialloc', 'Sports', 'Basketball']"
Kingston City Council,Breeze Street School Reserve,Bonbeach,-38.06582,145.127713,Cricket,1.0,Synthetic Pitch,,,Breeze Street Bonbeach 3196,,,,"['Kingston City Council', 'Bonbeach', 'Sports', 'Cricket']"
Kingston City Council,Browns Reserve,Mordialloc,-38.012406,145.100345,Cricket,1.0,Synthetic Pitch,3. Average,Unisex,James Avenue Mordialloc 3195,,,,"['Kingston City Council', 'Mordialloc', 'Sports', 'Cricket']"
Kingston City Council,Chadwick Reserve,Dingley Village,-37.983552,145.120032,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",100 Howard Road Dingley Village 3172,,,,"['Kingston City Council', 'Dingley Village', 'Sports', 'Cricket']"
Kingston City Council,Dane Road Reserve,Moorabbin,-37.941979,145.03822,Cricket,1.0,Turf Pitch,3. Average,Male,Dane Road Moorabbin 3189,,,,"['Kingston City Council', 'Moorabbin', 'Sports', 'Cricket']"
Kingston City Council,Mentone Grammar Sports Ground,Keysborough,-37.99905,145.1402,Cricket,1.0,Synthetic Pitch,,,Springvale Road Keysborough 3173,,,,"['Kingston City Council', 'Keysborough', 'Sports', 'Cricket']"
Kingston City Council,Capital Golf Course,Heatherton,-37.967164,145.104052,Golf,1.0,18 Hole Course - Private,,,Ross Street Heatherton 3202,,,,"['Kingston City Council', 'Heatherton', 'Sports', 'Golf']"
Kingston City Council,Chelsea Public Golf Course,Edithvale,-38.036458,145.12268600000000,Golf,1.0,9 Hole Course - Public,4. Good,Unisex,Fraser Avenue Edithvale 3196,,,,"['Kingston City Council', 'Edithvale', 'Sports', 'Golf']"
Kingston City Council,Commonwealth Golf Club,Oakleigh South,-37.929564,145.085432,Golf,1.0,18 Hole Course - Private,,,Glennie Avenue Oakleigh South 3167,,,,"['Kingston City Council', 'Oakleigh South', 'Sports', 'Golf']"
Kingston City Council,Kingswood Golf Club,Dingley Village,-37.977531,145.12621,Golf,1.0,18 Hole Course - Private,,,Centre Dandenong Road Dingley Village 3172,,,,"['Kingston City Council', 'Dingley Village', 'Sports', 'Golf']"
Kingston City Council,Rossdale Golf Course,Aspendale,-38.028738,145.106354,Golf,1.0,18 Hole Course - Private,,,Sixth Avenue Aspendale 3195,,,,"['Kingston City Council', 'Aspendale', 'Sports', 'Golf']"
Kingston City Council,Springvale Golf Course,Clayton South,-37.952688,145.132665,Golf,1.0,18 Hole Course - Private,,,Graham Road Clayton South 3169,,,,"['Kingston City Council', 'Clayton South', 'Sports', 'Golf']"
Kingston City Council,Woodlands Golf Club,Parkdale,-37.99962,145.097996,Golf,1.0,18 Hole Course - Private,,,White Street Parkdale 3194,,,,"['Kingston City Council', 'Parkdale', 'Sports', 'Golf']"
Kingston City Council,Haileybury College,Keysborough,-38.00101,145.13825400000000,Hockey,2.0,Artificial Turf,,,Springvale road Keysborough 3173,,,,"['Kingston City Council', 'Keysborough', 'Sports', 'Hockey']"
Kingston City Council,Dales Park,Clayton,-37.934468,145.081248,Netball,8.0,Asphalt,4. Good,"Female, Umpire/Officials",Washington Road Clayton 3168,,,,"['Kingston City Council', 'Clayton', 'Sports', 'Netball']"
Kingston City Council,Moorabbin Indoor Tennis,Moorabbin,-37.943918,145.076842,Netball (Indoor),,Wooden Gymnasium,,,Cochranes Road Moorabbin 3189,,,,"['Kingston City Council', 'Moorabbin', 'Sports', 'Netball']"
Kingston City Council,Keys Road Reserve,Cheltenham,-37.950384,145.06898600000000,Rugby Union,3.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Keys Road Cheltenham 3192,,,,"['Kingston City Council', 'Cheltenham', 'Sports', 'Rugby']"
Kingston City Council,Grange Reserve,Clayton South,-37.945332,145.13053,Soccer,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Osborne Avenue Clayton South 3169,,,,"['Kingston City Council', 'Clayton South', 'Sports', 'Soccer']"
Kingston City Council,Moorabbin Sqush and Fitness Centre,Moorabbin,-37.941458,145.057781,Squash / Racquetball,12.0,Wooden Flooring,,,10 Inderpendance Street Moorabbin 3189,,,,"['Kingston City Council', 'Moorabbin', 'Sports', 'Squash']"
Kingston City Council,Bayside Aquatics,Mentone,-37.987799,145.069459,Swimming,1.0,25m Pool - Indoor,,,Lucerne Street Mentone 3194,,,,"['Kingston City Council', 'Mentone', 'Sports', 'Swimming']"
Kingston City Council,Toby Haenen Swim Centre,Chelsea Heights,-38.039093,145.13786300000000,Swimming,,,,,10 Ashley Park Drive Chelsea Heights 3196,,,,"['Kingston City Council', 'Chelsea Heights', 'Sports', 'Swimming']"
Kingston City Council,Clarinda Tennis Club,Clarinda,-37.928776,145.101673,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Crawford Road Clarinda 3169,,,,"['Kingston City Council', 'Clarinda', 'Sports', 'Tennis']"
Kingston City Council,St Louis De Montfort Tennis Club,Aspendale,-38.017166,145.102389,Tennis (Outdoor),4.0,Hard Court,,,Dolphin Street Aspendale 3195,,,,"['Kingston City Council', 'Aspendale', 'Sports', 'Tennis']"
Kingston City Council,Ice Hockey Victoria,Oakleigh South,-37.9255,145.094,Ice Hockey,,,,,1080 Centre Road Oakleigh South 3167,,,,"['Kingston City Council', 'Oakleigh South', 'Sports', 'Hockey']"
Hume City Council,Bradford Avenue Reserve,Greenvale,-37.639764,144.88852,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Unisex",26-40 Bradford Avenue Greenvale 3059,,,,"['Hume City Council', 'Greenvale', 'Sports', 'Football']"
Hume City Council,Broadmeadows Valley Park,Meadow Heights,-37.66510200000000,144.915255,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Barry Road Meadow Heights 3047,,,,"['Hume City Council', 'Meadow Heights', 'Sports', 'Football']"
Hume City Council,Bulla Reserve,Bulla,-37.632403,144.805857,Australian Rules Football,1.0,Grass,4. Good,,17-45 Green Street Bulla 3428,,,,"['Hume City Council', 'Bulla', 'Sports', 'Football']"
Hume City Council,D.S. Aitken Reserve,Craigieburn,-37.597342,144.933547,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",136-170 Craigieburn Road West Craigieburn 3064,,,,"['Hume City Council', 'Craigieburn', 'Sports', 'Football']"
Hume City Council,Ginifer Reserve,Gladstone Park,-37.689005,144.899291,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",206-224 Carrick Drive Gladstone Park 3043,,,,"['Hume City Council', 'Gladstone Park', 'Sports', 'Football']"
Hume City Council,Goonawarra Recreation Reserve,Sunbury,-37.574531,144.75813,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",155 Lancefield Road Sunbury 3429,,,,"['Hume City Council', 'Sunbury', 'Sports', 'Football']"
Hume City Council,Jacana Reserve,Broadmeadows,-37.682641,144.9044,Australian Rules Football,2.0,Grass,3. Average,Male,59-79 Johnstone Street Broadmeadows 3047,,,,"['Hume City Council', 'Broadmeadows', 'Sports', 'Football']"
Hume City Council,Lakeside Reserve,Roxburgh Park,-37.631222,144.932963,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",27-51 Lakeside Drive Roxburgh Park 3064,,,,"['Hume City Council', 'Roxburgh Park', 'Sports', 'Football']"
Hume City Council,Leo Dineen Reserve,Tullamarine,-37.702906,144.875723,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",60 Spring Street Tullamarine 3043,,,,"['Hume City Council', 'Tullamarine', 'Sports', 'Football']"
Hume City Council,Westmeadows Reserve,Westmeadows,-37.674469,144.886886,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",136 Ardie Street Westmeadows 3049,,,,"['Hume City Council', 'Westmeadows', 'Sports', 'Football']"
Hume City Council,Craigieburn Leisure Centre,Craigieburn,-37.59906,144.934474,Badminton,,,4. Good,"Female, Male, Unisex",127-147 Craigieburn Road Craigieburn 3064,,,,"['Hume City Council', 'Craigieburn', 'Sports', 'Badminton']"
Hume City Council,Boardman Stadium,Sunbury,-37.582257,144.693558,Basketball,4.0,Wooden Gymnasium,4. Good,"Female, Male",Wilsons Lane Sunbury 3429,,,,"['Hume City Council', 'Sunbury', 'Sports', 'Basketball']"
Hume City Council,Broadmeadows Basketball Stadium,Broadmeadows,-37.680726,144.91456600000000,Basketball,4.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",40 Dimboola Road Broadmeadows 3047,,,,"['Hume City Council', 'Broadmeadows', 'Sports', 'Basketball']"
Hume City Council,Greenvale Recreation Centre,Greenvale,-37.650308,144.892755,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male",27 Barrymore Road Greenvale 3059,,,,"['Hume City Council', 'Greenvale', 'Sports', 'Basketball']"
Hume City Council,Meadow Heights Community Centre,Meadow Heights,-37.655,144.922,Basketball,1.0,Wooden Gymnasium,4. Good,,15-29 Buchan Street Meadow Heights 3047,,,,"['Hume City Council', 'Meadow Heights', 'Sports', 'Basketball']"
Hume City Council,Progress Reserve,Coolaroo,-37.660356,144.93283200000000,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male, Unisex",27-59 Almurta Avenue Coolaroo 3064,,,,"['Hume City Council', 'Coolaroo', 'Sports', 'Basketball']"
Hume City Council,Anderson Reserve,Broadmeadows,-37.693206,144.922092,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",2-14 Glen Allen Street Broadmeadows 3047,,,,"['Hume City Council', 'Broadmeadows', 'Sports', 'Cricket']"
Hume City Council,Gladstone Park Reserve,Gladstone Park,-37.686436,144.88768000000000,Cricket,1.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",1-9 South Circular Road Gladstone Park 3043,,,,"['Hume City Council', 'Gladstone Park', 'Sports', 'Cricket']"
Hume City Council,John Laffen Memorial Reserve,Donnybrook,-37.541906,144.953931,Cricket,2.0,Synthetic Pitch,2. Poor,Unisex,670 Donnybrook Road Donnybrook 3064,,,,"['Hume City Council', 'Donnybrook', 'Sports', 'Cricket']"
Hume City Council,Langama Park,Sunbury,-37.586736,144.70996500000000,Cricket,2.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",89-107 Mitchells Lane Sunbury 3429,,,,"['Hume City Council', 'Sunbury', 'Sports', 'Cricket']"
Hume City Council,Rostron Reserve,Roxburgh Park,-37.631783,144.917454,Cricket,1.0,Synthetic Pitch,,,15 McPherson Boulevard Roxburgh Park 3064,,,,"['Hume City Council', 'Roxburgh Park', 'Sports', 'Cricket']"
Hume City Council,Seth Raistrick Reserve,Campbellfield,-37.676587,144.95767800000000,Cricket,1.0,Synthetic Pitch,3. Average,,1678-1700 Sydney Road Campbellfield 3061,,,,"['Hume City Council', 'Campbellfield', 'Sports', 'Cricket']"
Hume City Council,Westmeadows Heights Reserve,Westmeadows,-37.672131,144.906325,Cricket,1.0,Synthetic Pitch,,,116-138 Erinbank Crescent Westmeadows 3049,,,,"['Hume City Council', 'Westmeadows', 'Sports', 'Cricket']"
Hume City Council,Fitness Arena,Coolaroo,-37.642729,144.93232,Cricket (Indoor),,,,,33/22-36 Reservoir Drive Coolaroo 3064,,,,"['Hume City Council', 'Coolaroo', 'Sports', 'Cricket']"
Hume City Council,Craigieburn Golf Course,Craigieburn,-37.598604,144.920847,Golf,1.0,18 Hole Course - Public,5. Very Good,,Craigieburn Road West Craigieburn 3064,,,,"['Hume City Council', 'Craigieburn', 'Sports', 'Golf']"
Hume City Council,Goonawarra Public Golf Course,Sunbury,-37.586155,144.751294,Golf,1.0,18 Hole Course - Public,4. Good,"Female, Male",2 Francis Blvd Sunbury 3429,,,,"['Hume City Council', 'Sunbury', 'Sports', 'Golf']"
Hume City Council,Tullamarine Country Golf Club,Tullamarine,-37.693625,144.83878700000000,Golf,,18 Hole Course - Public,,,Operations Road Tullamarine 3043,,,,"['Hume City Council', 'Tullamarine', 'Sports', 'Golf']"
Hume City Council,Jack Roper Reserve,Broadmeadows,-37.689708,144.93606700000000,Soccer,1.0,Grass,,,217-241 Camp Road Broadmeadows 3047,,,,"['Hume City Council', 'Broadmeadows', 'Sports', 'Soccer']"
Hume City Council,Gladstone Park Squash,Tullamarine,-37.7005,144.885,Squash / Racquetball,,,,,35 Carrick Drive Tullamarine 3043,,,,"['Hume City Council', 'Tullamarine', 'Sports', 'Squash']"
Hume City Council,Dallas Tennis Centre,Dallas,-37.672512,144.937827,Tennis (Outdoor),2.0,Artificial Turf,3. Average,,35 Hepburn Street Dallas 3047,,,,"['Hume City Council', 'Dallas', 'Sports', 'Tennis']"
Hume City Council,Gladstone Park Tennis Club (Elmhurst Park),Gladstone Park,-37.694016,144.88701,Tennis (Outdoor),9.0,Clay,4. Good,"Female, Male",18 Elmhurst Road Gladstone Park 3043,,,,"['Hume City Council', 'Gladstone Park', 'Sports', 'Tennis']"
Hume City Council,Hume Tennis & Community Centre,Craigieburn,-37.583477,144.90301600000000,Tennis (Outdoor),2.0,Clay,Same as above,,2-30 Newbury Boulevard Craigieburn 3064,,,,"['Hume City Council', 'Craigieburn', 'Sports', 'Tennis']"
Hume City Council,Mt Carmel Tennis Club,Sunbury,-37.568898,144.716875,Tennis (Outdoor),4.0,Clay,,,16 Stewarts Lane Sunbury 3429,,,,"['Hume City Council', 'Sunbury', 'Sports', 'Tennis']"
Hume City Council,Tullamarine Tennis Club,Tullamarine,-37.696644,144.872208,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Catherine Avenue Tullamarine 3043,,,,"['Hume City Council', 'Tullamarine', 'Sports', 'Tennis']"
Mitchell Shire Council,Chittick Park,Seymour,-37.029162,145.149001,Australian Rules Football,2.0,Grass,,,Pollard Street Seymour 3660,,,,"['Mitchell Shire Council', 'Seymour', 'Sports', 'Football']"
Mitchell Shire Council,Greenhill Reserve,Wallan,-37.421504,144.980638,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Duke Street Wallan 3756,,,,"['Mitchell Shire Council', 'Wallan', 'Sports', 'Football']"
Mitchell Shire Council,Harley Hammond Reserve,Broadford,-37.203397,145.044733,Australian Rules Football,1.0,Grass,3. Average,Male,Gavan Street Broadford 3658,,,,"['Mitchell Shire Council', 'Broadford', 'Sports', 'Football']"
Mitchell Shire Council,LB Davern Reserve,Wandong,-37.357776,145.031567,Australian Rules Football,1.0,Grass,5. Very Good,Unisex,Dry Creek Crescent Wandong 3758,,,,"['Mitchell Shire Council', 'Wandong', 'Sports', 'Football']"
Mitchell Shire Council,Tallarook Reserve,Tallarook,-37.097423,145.095681,Australian Rules Football,1.0,Grass,4. Good,,Sanctuary Road Tallarook 3659,,,,"['Mitchell Shire Council', 'Tallarook', 'Sports', 'Football']"
Mitchell Shire Council,Pyalong Recreation Hall,Pyalong,-37.113981,144.857023,Badminton,,,,,Northern Highway Pyalong 3521,,,,"['Mitchell Shire Council', 'Pyalong', 'Sports', 'Badminton']"
Mitchell Shire Council,RB Robson Stadium,Wallan,-37.41536,144.980723,Badminton,3.0,Wooden Flooring,5. Very Good,"Female, Male",Bentinck Street Wallan 3756,,,,"['Mitchell Shire Council', 'Wallan', 'Sports', 'Badminton']"
Mitchell Shire Council,Wandong Memorial Stadium,Wandong,-37.358297,145.030944,Badminton,,,,,Dry Creek Crescent Wandong 3758,,,,"['Mitchell Shire Council', 'Wandong', 'Sports', 'Badminton']"
Mitchell Shire Council,Mitchell Majors Baseball Club,Broadford,-37.201825,145.0389,Baseball,1.0,Grass,4. Good,,Pinniger Street Broadford 3658,,,,"['Mitchell Shire Council', 'Broadford', 'Sports', 'Baseball']"
